reservoir,lat,lng,state
"Lake Powell",36.936111,-111.484167,AZ
"Lake Mohave",35.437222,-114.643611,AZ
"Lake Havasu",34.483333,-114.383333,AZ
"Lake Mead",36.25,-114.39,AZ
Horseshoe,33.985786,-111.721169,AZ
"San Carlos",33.174687,-110.527863,AZ
"C. C. Cragin",34.554528,-111.197417,AZ
Bartlett,33.818611,-111.631944,AZ
"Lyman Lake",34.3586,-109.365289,AZ
Roosevelt,33.671667,-111.161111,AZ
"Horse Mesa",33.590833,-111.343889,AZ
"Mormon Flat",33.554167,-111.4425,AZ
"Stewart Mtn",33.566667,-111.535556,AZ
