reservoir,lat,lng,state,pct_capacity,capacity
Jenkinson Lake,38.713,-120.56,CA,100.5,41000
Lower Bear,38.538,-120.257,CA,89.4,48800
Salt Springs,38.497,-120.216,CA,31.8,141900
Pardee,38.25,-120.85,CA,91.5,210000
Camanche Reservoir,38.225,-121.021,CA,72.7,417100
New Hogan Lake,38.152,-120.812,CA,66.9,317000
Spicer Meadows,38.393,-119.998,CA,61.1,190000
Donnells,38.329,-119.96,CA,100.5,56900
Relief,38.267,-119.733,CA,62.2,15100
Beardsley Lake,38.203,-120.075,CA,101.9,77600
Strawberry,38.2,-119.983,CA,64.6,1106500
New Melones Reservoir,37.9481,-120.525,CA,75.5,2400000
Tulloch,37.875,-120.603,CA,79.7,68400
Cherry Lake,37.976,-119.913,CA,82.4,268000
Lake Eleanor,37.974,-119.88,CA,82.3,28600
Hetch Hetchy,37.95,-119.783,CA,79.2,360000
Don Pedro Reservoir,37.702,-120.421,CA,86.7,2030000
Modesto Reservoir,37.657,-120.675,CA,60.9,29000
Turlock Lake,37.6,-120.583,CA,46.2,45600
Lake Mcclure,37.584,-120.267,CA,68,1024600
Buchanan Dam,37.213,-119.97,CA,83.8,150000
Hidden Dam,37.2,-119.917,CA,48.8,90000
Thomas A Edison,37.37,-118.987,CA,18.8,125000
Mammoth Pool,37.329,-119.328,CA,97.7,123000
Crane Valley,37.283,-119.517,CA,76.9,45400
Florence Lake,37.267,-118.967,CA,12.9,64400
Huntington Lake,37.228,-119.221,CA,34,89800
Shaver Lake,37.145,-119.302,CA,47.7,135300
Redinger Lake,37.145,-119.449,CA,62.6,35000
Friant Dam,37.001,-119.705,CA,39.2,520500
San Luis Reservoir,37.033,-121.133,CA,98.7,2041000
Oneill Forebay,37.067,-121.067,CA,82.9,56400
San Luis Reservoir,37.001,-121.002,CA,98.7,2041000
Los Banos,37.05,-120.867,CA,62.2,34600
Courtright,37.072,-118.967,CA,41.9,123300
Wishon,37.005,-118.969,CA,43.7,118000
Pine Flat Dam,36.833,-119.325,CA,58.5,1000000
Terminus Dam,36.415,-119.002,CA,27.8,185600
Success Dam,36.061,-118.922,CA,52.8,82300
Isabella Dam,35.646,-118.473,CA,43.2,568000
Stampede,39.471,-120.103,CA,79.6,226500
Boca Reservoir,39.383,-120.1,CA,76.8,41100
Prosser Creek Reservoir,39.3794,-120.1367,CA,31.5,28800
Lake Tahoe,39.181,-120.118,CA,70.7,732000
Bridgeport Reservoir,38.325,-119.211,CA,33.5,44100
Saddlebag Lake Reservoir,37.966,-119.272,CA,19.1,9800
Grant Lake,37.862,-119.102,CA,64.2,47500
Gem  Lake,37.752,-119.14,CA,12.6,17200
Lake Crowley,37.604,-118.707,CA,60.6,183500
South Lake,37.1759033203125,-118.562660217285,CA,22.6,12900
Tinemaha Reservoir,37.058,-118.225,CA,16.8,16499
Haiwee,36.137,-117.948,CA,55.1,46600
Lake Silverwood,34.304,-117.318,CA,87.1,78000
Abilene,32.234444,-99.888611,TX,96.6,7900
Addicks,29.7907839,-95.6235563,TX,0,202128
Alan Henry,33.062778,-101.047222,TX,94.5,94808
Amistad,29.4502245,-101.0578773,TX,75.3,1840849
Amon G Carter,33.4692751,-97.865869,TX,100,19266
Aquilla,31.9134913,-97.2086193,TX,100,43243
Arlington,32.7220762,-97.2000126,TX,96.4,40188
Arrowhead,33.764167,-98.371389,TX,96.6,230359
Athens,32.210556,-95.765,TX,100,29503
Austin,30.2940958,-97.7861177,TX,94.9,23972
B A Steinhagen,30.85,-94.19,TX,91,66961
Bardwell,32.2859792,-96.6644353,TX,100,46122
Belton,31.1085113,-97.4725099,TX,100,435225
Benbrook,32.6531887,-97.4566869,TX,76.7,85648
Bob Sandlin,33.08,-95.001944,TX,100,190822
Bonham,33.645278,-96.163889,TX,74.1,11027
Brady Creek,31.138056,-99.385278,TX,65.7,28808
Bridgeport,33.2215039,-97.8311465,TX,100,366236
Brownwood,31.836944,-99.003611,TX,99.9,128839
Buchanan,30.751833,-98.418667,TX,94.7,860607
Caddo,32.71,-94.01,TX,100,29898
Canyon,29.881389,-98.24,TX,100,378781
Cedar Creek,32.3637,-96.1747,TX,99.9,644686
Champion Creek,32.281389,-100.858333,TX,38.2,41580
Choke Canyon,28.5,-98.35,TX,39.1,662820
Cisco,32.4392955,-98.9842344,TX,99.6,25895
Coleman,32.03,-99.465,TX,98.8,38075
Coleto Creek,28.727167,-97.170333,TX,96.8,31040
Colorado City,32.344722,-100.919444,TX,46.4,30758
Conroe,30.3579852,-95.6116111,TX,99.9,410988
Corpus Christi,28.099,-97.889167,TX,93.8,256961
Crook,33.7281602,-95.5674583,TX,99.8,9195
Cypress Springs,33.0578984,-95.1407735,TX,99.4,66756
E V Spence,31.879444,-100.516944,TX,13.6,517272
Eagle Mountain,32.8754048,-97.4677985,TX,100,179880
Elephant Butte,33.153969,-107.192113,TX,17.2,2065010
Falcon,26.558889,-99.164722,TX,40.8,1551007
Fork,32.804167,-95.539444,TX,97.1,605061
Fort Phantom Hill,32.6167874,-99.6686989,TX,99.6,70030
Georgetown,30.6668589,-97.7238998,TX,99.9,36823
Graham,33.134444,-98.613333,TX,98.8,45288
Granbury,32.3737517,-97.6878042,TX,99.5,132949
Granger,30.701667,-97.340556,TX,100,51822
Grapevine,32.972222,-97.056667,TX,100,164703
Greenbelt,35.0044944,-100.8968112,TX,27.8,59968
Halbert,32.0762647,-96.4055369,TX,90.4,6033
Hords Creek,31.8351456,-99.5595147,TX,85.8,8443
Houston,29.958833,-95.148833,TX,100,120686
Houston County,31.4068455,-95.6052294,TX,100,17113
Hubbard Creek,32.831389,-98.9675,TX,98.3,318067
Hubert H Moss,33.773889,-97.213889,TX,99.4,24058
Inks,30.7310154,-98.384751,TX,92.4,13962
J B Thomas,32.593056,-101.137778,TX,61.6,199931
Jacksonville,31.908333,-95.309722,TX,100,25670
Jim Chapman,33.333333,-95.625,TX,78.8,260332
Joe Pool,32.6445785,-96.9930615,TX,100,175358
Kemp,33.758333,-99.150833,TX,100,245307
Kickapoo,33.661111,-98.776111,TX,89.3,86345
Lake O The Pines,32.770833,-94.543611,TX,99.9,241363
Lavon,33.0320638,-96.4810986,TX,93.7,406388
Leon,32.363611,-98.675278,TX,86,27762
Lewisville,33.069167,-96.964444,TX,100,563228
Limestone,31.325278,-96.3175,TX,100,203780
Livingston,30.74,-95.15,TX,100,1785348
Lost Creek,33.243333,-98.119722,TX,17.1,315000
Lyndon B Johnson,30.555556,-98.337778,TX,95.7,115249
Mackenzie,34.545278,-101.437778,TX,14.9,46450
Martin,32.261667,-94.573056,TX,97.3,75726
Medina,29.540278,-98.933611,TX,92.4,254823
Meredith,35.7142084,-101.552948,TX,24.4,500000
Millers Creek,33.408889,-99.388611,TX,99.3,26768
Mineral Wells,32.8173498,-98.0430984,TX,100,5273
Monticello,33.088889,-95.039722,TX,100,34740
Mountain Creek,32.719269,-96.960894,TX,100,22850
Murvaul,32.034444,-94.420833,TX,99.5,38285
Nacogdoches,31.588611,-94.825278,TX,97.7,39522
Natural Dam,32.22,-101.629167,TX,48.6,54560
Navarro Mills,31.9575,-96.689167,TX,100,49827
New Terrell City,32.7276291,-96.1721971,TX,100,8583
Nocona,33.8825,-97.6525,TX,100,21444
North Fork Buffalo Creek,33.986667,-98.751667,TX,76.4,15400
O C Fisher,31.484444,-100.481389,TX,14.2,119445
O H Ivie,31.5,-99.668056,TX,24.9,554340
Oak Creek,32.040556,-100.268056,TX,59.8,39210
Palestine,32.184647,-95.480289,TX,100,367303
Palo Duro,36.361442,-101.164017,TX,1.4,61066
Palo Pinto,32.6467959,-98.2753252,TX,96.3,26766
Pat Cleburne,32.288333,-97.416667,TX,100,26008
Pat Mayse,33.8534376,-95.5485703,TX,95.1,113683
Possum Kingdom,32.8712336,-98.4269972,TX,99.7,523873
Proctor,31.9723674,-98.4767122,TX,99.9,54762
Ray Hubbard,32.7995716,-96.4949877,TX,98.7,439559
Ray Roberts,33.3334494,-97.0300086,TX,100,788167
Red Bluff,31.901237,-103.910753,TX,86.6,151110
Richland Chambers,31.951944,-96.098889,TX,100,1087839
Sam Rayburn,31.061111,-94.106111,TX,94.3,2857077
Somerville,30.325556,-96.5275,TX,100,147104
Squaw Creek,32.288611,-97.760278,TX,99.7,151250
Stamford,33.0728844,-99.5611966,TX,92.2,51570
Stillhouse Hollow,31.0232362,-97.5308439,TX,100,227771
Sulphur Springs,33.167778,-95.641667,TX,94.8,17747
Sweetwater,32.438611,-100.303333,TX,24.1,12267
Tawakoni,32.808056,-95.920556,TX,89.5,871685
Texana,28.889167,-96.583611,TX,99.3,159566
Texoma,33.831944,-96.571111,TX,93.6,1258113
Toledo Bend,32.0079443,-94.1332492,TX,93.3,2236450
Travis,30.391944,-97.906667,TX,33.8,1113348
Twin Buttes,31.3782184,-100.5367626,TX,13.9,182454
Tyler,32.241667,-95.175833,TX,100,72073
Waco,31.5834984,-97.2005612,TX,99.9,189418
Waxahachie,32.3370884,-96.8027734,TX,100,10780
Weatherford,32.7709616,-97.6722495,TX,98.3,17812
White River,33.457778,-101.083611,TX,24.6,29880
Whitney,31.8665468,-97.3708467,TX,91.9,553344
Worth,32.789167,-97.416111,TX,98.5,33495
Wright Patman,33.3048487,-94.1599119,TX,85.5,310382
Big Sandy,42.2503,-109.4283,WY,71.8,38300
Blue Mesa,38.4703,-107.2204,CO,64.9,940800
Caballo,32.8964,-107.2934,NM,20.9,343990
Causey,41.298333,-111.587222,UT,82.5,8730
Crystal,38.48118,-107.58142,CO,94.9,17540
Currant Creek,40.33301,-111.05206,UT,90.7,15670
Deer Creek,40.406667,-111.526944,UT,97.4,152570
Echo,40.96605,-111.43034,UT,58.1,74000
Vallecito,37.37884,-107.57353,CO,61.9,125400
Moon Lake,40.562447,-110.489606,UT,62.2,49500
Lake Powell,36.936111,-111.484167,AZ & UT,48.3,24322000
Flaming Gorge,40.914444,-109.421389,UT,82.7,3788700
Rifle Gap,39.62812,-107.75951,CO,102.8,12168
Rockport,40.79,-111.404167,UT,44.3,62100
Scofield,39.786944,-111.12,UT,36.7,73600
Taylor Park,38.817222,-106.605,CO,66.1,106200
Fontenelle,42.033333,-110.066667,WY,45.2,345360
Hyrum,41.620278,-111.8575,UT,56.3,18685
Jackson Gulch Reservoir,37.415551,-108.2745264,CO,51,10000
Steinaker,40.5175,-109.530278,UT,61,38173
Santa Rosa,35.0283,-104.6886,NM,3,717000
Lemon,37.395278,-107.661944,CO,64.5,39792
Morrow Point,38.446111,-107.521944,CO,92.6,117025
Navajo,36.82,-107.603333,CO,89.8,1708600
Starvation,40.190278,-110.443889,UT,72.5,167310
Vega,39.224444,-107.793333,CO,45.8,33800
Upper Stillwater,40.559722,-110.698056,UT,5.6,33123
Strawberry,40.136667,-111.027222,UT,64.6,1106500
Stateline,40.98733,-110.38443,UT,69.5,12000
Silver Jack,38.23198,-107.54233,CO,41.7,12820
Ridgway,38.23688,-107.75865,CO,76.5,84230
Red Fleet,40.582222,-109.432222,UT,75.8,26000
Pineview,41.2544,-111.8421,UT,62.3,110150
Paonia,38.94217,-107.35203,CO,10.6,20950
Newton,41.89608,-111.97364,UT,88.9,5600
Meeks Cabin,41.02555,-110.58024,WY,60.5,32470
McPhee,37.573889,-108.558056,CO,92,381100
Lost Creek Reservoir,41.1844,-111.39825,UT,74.5,22510
Lake Sumner,34.60817,-104.38634,NM,111.5,43768
Jordanelle,40.616667,-111.408333,UT,72.3,320300
Joes Valley,39.28882,-111.26977,UT,66.4,62460
Huntington North,39.34266,-110.94769,UT,73,5420
Elephant Butte,33.153969,-107.192113,NM,17.2,2065010
Fruitgrowers,38.8266496,-107.9556212,CO,76.6,4540
East Canyon,40.92,-111.600833,UT,77.7,51200
Lake Mohave,35.437222,-114.643611,AZ & NV,94.9,1809800
Lake Havasu,34.483333,-114.383333,AZ & CA,93.1,619400
Lake Mead,36.25,-114.39,AZ & NV,41.4,25877000
Agate,42.415,-122.772222,OR,97.6,4800
American Falls,42.780833,-112.875556,ID,92.8,1671300
Anderson Ranch,43.358333,-115.444444,ID,71.8,503500
Arrowrock,43.595556,-115.922222,ID,44,300850
Beulah,43.91202,-118.1539,OR,94.8,59200
Banks Lake,47.62,-119.3075,WA,55.7,1237000
Bully Creek,44.013216,-117.396017,OR,73.1,31650
Cold Springs,45.86083,-119.17242,OR,63.2,40000
Crane Prairie,43.780638,-121.800613,OR,84.5,55300
Crescent Lake,43.475556,-121.992222,OR,11,566600
Lake Cascade,44.524,-116.051,ID,66.2,693100
Deadwood,44.294,-115.646,ID,80.4,154000
Emigrant Lake,42.161389,-122.604167,OR,93.9,40530
Black Canyon,43.93046,-116.43635,ID,68,44700
Fish Lake,42.3775,-122.3475,OR,64.7,7836
Fourmile Lake,42.465833,-122.253889,OR,40.4,15600
Grand Coulee/FDR Lake,47.955833,-118.981667,WA,16.1,9562000
Grassy Lake,44.130978,-110.818825,WY,85.4,15200
Haystack,44.49899,-121.15505,OR,86.7,5600
Howard Prairie Lake,42.216389,-122.376389,OR,95.1,62100
Hyatt,42.186111,-122.453889,OR,60.4,16900
Island Park,44.418589, -111.396528,ID,93.2,135000
Jackson Lake,43.857647,-110.589594,WY,57.5,847000
Lake Lowell,43.56034,-116.6532,ID,90.4,169000
Lucky Peak Lake,43.525278,-116.043333,ID,50.1,307000
Mann Creek,44.39138,-116.89585,ID,86.9,10900
McKay,45.605408,-118.798318,OR,98.9,65534
Milner,42.524444,-114.009722,ID,93.1,36300
Lake Walcott,42.669444,-113.483611,ID,43.5,210200
Ochoco,44.299,-120.7242,OR,106.4,39000
Lake Owyhee,43.461389,-117.338333,OR,62.1,1122000
Palisades,43.333056,-111.202778,ID,15.6,1200000
Phillips Lake,44.6725,-117.9996,OR,36.2,114000
Prineville,44.11,-120.785556,OR,97.2,150200
Reservoir A,46.371111,-116.8575,ID,63.3,3000
Ririe Lake,43.58167,-111.74167,ID,68.9,100500
Henry Hagg Lake,45.47345,-123.20344,OR,97.7,53640
Soldiers Meadow,46.167222,-116.736667,ID,94,2370
Thief Valley,45.01278,-117.78,OR,81,17600
Unity,44.498889,-118.187222,OR,90.3,25500
Warm Springs Reservoir,43.585556,-118.208889,OR,91.6,169714
Clear Lake,45.176389,-121.694444,OR,9.5,11900
Wickiup,43.690278,-121.698333,OR,83.3,206880
Wildhorse,41.666757,-115.806942,NV,100.9,71500
Little Wood,43.425278,-114.027222,ID,55.5,30000
Horseshoe,33.985786,-111.721169,AZ,56.9,131500
San Carlos,33.174687,-110.527863,AZ,25.8,910000
C. C. Cragin,34.554528,-111.197417,AZ,98.9,15000
Bartlett,33.818611,-111.631944,AZ,98.5,178186
Lyman Lake,34.3586,-109.365289,AZ,68.1,27000
Roosevelt,33.671667,-111.161111,AZ,82,1381580
Horse Mesa,33.590833,-111.343889,AZ,95.6,245138
Mormon Flat,33.554167,-111.4425,AZ,96.9,57852
Stewart Mtn,33.566667,-111.535556,AZ,92.6,69765
Henrys Lake,44.597222,-111.353611,ID,97.8,90000
Dillon,39.6074,-106.0551,CO,84.1,254000
Williams Fork,40.015278,-106.210278,CO,75.5,97000
Antero,38.99,-105.9,CO,91,16372
Cheesman,39.21,-105.27,CO,91.4,79000
Eleven Mile,38.9,-105.48,CO,101.3,98000
Gross,39.95,-105.36,CO,22.5,41800
Marston,39.63,-105.08,CO,47.7,13000
Lake Coeur D'Alene,47.533461,-116.809122,ID,84.8,238500
Lake Pend Oreille,48.166667,-116.333333,ID,44.8,1561300
Priest Lake,48.566667,-116.866667,ID,51.4,119300
Dworshak,46.515,-116.296,ID,65.9,3468000
Magic,43.26,-114.36,ID,51.6,191500
Blackfoot,43,-111.72,ID,69.9,337000
Oakley,42.2,-113.92,ID,50.6,75600
Salmon Falls,42.21,-114.73,ID,44.6,182600
Brownlee,44.83,-116.9,ID,75.5,1420000
Bear Lake,42.12,-111.3,ID,41.5,1302000
Montpelier,42.35,-111.18,ID,50,4000
Conconully,48.53807,-119.749,WA,81.6,13000
Lake Chelan,47.841111,-120.046389,WA,98.7,676100
Keechelus,47.3477,-121.3691,WA,46,157800
Kachess,47.264167,-121.205833,WA,53.4,239000
Cle Elum,47.282,-121.1075,WA,39.9,436900
Bumping Lake,46.8513,-121.3193,WA,46.8,33700
Rimrock,46.656389,-121.129444,WA,74.5,198000
Ross,48.731667,-121.067222,WA,32.9,1404100
Diablo,48.714167,-121.13111,WA,94.9,90600
Wallowa Lake,45.308889,-117.210556,OR,70.7,37500
Wolf Creek,45.05,-118.02,OR,35,10400
Willow Creek,45.35,-119.54,OR,34.6,13900
Blue River,44.17,-122.33,OR,42,85500
Cottage Grove,43.72,-123.05,OR,36.6,29800
Cougar,44.13,-122.24,OR,56.7,155200
Detroit,44.72,-122.25,OR,93,300700
Dorena,43.79,-122.95,OR,33.3,70500
Fall Creek,43.95,-122.76,OR,5,115500
Fern Ridge,44.12,-123.3,OR,34.8,109600
Applegate,42.05,-123.12,OR,30.3,75200
Lost Creek Res,42.76,-122.67,OR,73.3,315000
Cottonwood,42.24,-120.51,OR,80.9,8700
Abiquiu,36.24,-106.43,NM,10.4,1192800
Bluewater Lake,35.29,-108.11,NM,20.3,38500
Brantley Lake,32.54,-104.38,NM,3.5,1082000
Cochiti Lake,35.62,-106.32,NM,9.4,491000
Conchas Lake,35.4,-104.19,NM,29,254200
Costilla,36.88,-105.28,NM,33.1,16000
Eagle Nest Lake,36.53,-105.23,NM,40.4,79000
El Vado,36.59,-106.73,NM,28.3,190300
Heron,36.67,-106.71,NM,16.8,400000
Lake Avalon,32.49,-104.25,NM,77.5,4000
Lahontan,39.46,-119.07,NV,84.4,295100
Rye Patch,40.47,-118.31,NV,27.1,194300
Big Sand Wash,40.3,-110.22,UT,99.5,25700
Cleveland Lake,39.58,-111.24,UT,32.2,5400
Grantsville,40.54,-112.51,UT,39.7,3300
Gunlock,37.25,-113.78,UT,62.3,10400
Gunnison,39.21,-111.71,UT,11.5,20300
Ken's Lake,38.48,-109.43,UT,83,2300
Kolob,37.43,-113.04,UT,81.2,5600
Lower Enterprise,37.53,-113.85,UT,92.3,2600
Miller Flat,39.54,-111.24,UT,40.9,5200
Millsite,39.1,-111.19,UT,65.3,16700
Minersville,38.22,-112.84,UT,43,23300
Otter Creek,38.17,-112.02,UT,70.1,52500
Panguitch Lake,37.72,-112.63,UT,52.8,22300
Piute,38.32,-112.19,UT,41.7,71800
Porcupine,41.52,-111.75,UT,104.4,11300
Quail Creek,37.18,-113.38,UT,75.4,40000
Sand Hollow,37.11,-113.37,UT,91.7,50000
Sevier Bridge,39.37,-112.03,UT,30.5,236000
Smith And Morehouse,40.76,-111.1,UT,6.8,81000
Upper Enterprise,37.52,-113.86,UT,37.2,10000
Utah Lake,40.36,-111.89,UT,51.6,870900
Willard Bay,41.4,-112.08,UT,91.6,215000
Woodruff Creek,41.47,-111.32,UT,100,4000
Woodruff Narrows,41.5,-111.02,WY,93,57300
Bull Lake,43.21,-109.04,WY,30.3,151800
Boysen,43.42,-108.18,WY,104.1,596000
Pilot Butte,43.2,-108.76,WY,81,31600
Buffalo Bill,44.5,-109.18,WY,74.7,646600
Keyhole,44.38,-104.78,WY,75.6,193800
Seminoe,42.16,-106.91,WY,74.3,1016700
Pathfinder,42.47,-106.85,WY,92.5,1016500
Alcova,42.55,-106.72,WY,85.3,184300
Glendo,42.48,-104.95,WY,67.5,506400
Guernsey,42.29,-104.77,WY,0,45600
High Savery,41.28,-107.3,WY,54.9,22400
Viva Naughton,41.97,-110.65,WY,67.5,42400
Wheatland #2,41.84,-105.64,WY,55.2,98900
Adobe Creek,38.27,-103.24,CO,88.1,62000
Barr Lake,39.95,-104.77,CO,86.4,30100
Boyd Lake,40.43,-105.03,CO,57.2,48400
Carter Lake,40.32,-105.22,CO,79.2,108900
Clear Creek,39.02,-106.25,CO,69.3,11400
Cobb Lake,40.65,-104.97,CO,76.2,22300
Continental,37.89,-107.21,CO,35.9,27000
Crawford,38.69,-107.6,CO,53.6,14000
Cucharas,37.74,-104.61,CO,0,40000
Empire,40.27,-104.15,CO,81.4,36500
Fossil Creek,40.49,-105.01,CO,83.8,11100
Green Mtn,39.88,-106.33,CO,40.2,146800
Groundhog,37.79,-108.29,CO,83.6,22000
Homestake,39.37,-106.46,CO,97.9,43000
Horse Creek,38.16,-103.41,CO,95.6,27000
Horsecreek,40.01,-104.58,CO,74.8,14700
Horsetooth,40.6,-105.17,CO,82.2,149700
Jackson Lk,40.38,-104.08,CO,37.6,9948
John Martin,38.07,-102.94,CO,99.6,26100
Julesberg,40.94,-102.63,CO,20.6,616000
Lake Granby,40.18,-105.87,CO,68.8,20500
Lake Loveland,40.42,-105.08,CO,69.7,465600
Marshall,39.95,-105.22,CO,35,10300
Meredith Reservoir,38.17,-103.73,CO,65,10000
Milton,40.23,-104.65,CO,94,42000
Mountain Home,37.39,-105.39,CO,82.6,23500
Narraguinnep,37.49,-108.63,CO,14.1,18000
Platoro,37.35,-106.55,CO,93.2,19000
Point Of Rocks,40.78,-103.27,CO,25.8,60000
Prewitt,40.42,-103.38,CO,98.2,70600
Pueblo,38.27,-104.73,CO,80.5,28200
Ralph Price,40.22,-105.37,CO,70,354000
Rio Grande,37.72,-107.27,CO,67.3,16200
Riverside,40.32,-104.27,CO,52.5,51000
Ruedi,39.36,-106.82,CO,90.3,55800
Sanchez,37.11,-105.41,CO,64.7,102000
Santa Maria,37.81,-107.1,CO,9.2,103000
Shadow Mountain,40.21,-105.84,CO,37.1,45000
Spinney Mountain,38.97,-105.62,CO,94,18400
Stagecoach,40.29,-106.83,CO,59.2,49000
Standley,39.87,-105.12,CO,103.3,33300
Terrace,37.36,-106.29,CO,74,42000
Trinidad Lake,37.14,-104.55,CO,32.8,18000
Turquoise Lake,39.25,-106.37,CO,15,167000
Twin Lakes,39.08,-106.32,CO,38,127000
Union,40.18,-105.03,CO,50.2,86000
Windsor,40.48,-104.9,CO,69.2,13000
Wolford Mountain,40.11,-106.41,CO,73.7,15200
