reservoir,lat,lng,state,pct_capacity,capacity
Upper Klamath,42.25,-121.815,CA,95.4,486800
Gerber,42.205,-121.13,CA,86.5,94300
Clear Lk   Klamath R,41.927,-121.075,CA,55.2,451000
Dwinnell,41.541,-122.376,CA,94.2,50000
Trinity Lake,40.801,-122.762,CA,88.9,2447700
Lewiston,40.727,-122.793,CA,98.5,14700
Lake Pillsbury,39.408,-122.958,CA,86.1,80500
Lake Mendocino,39.199,-123.182,CA,68.7,122400
Warm Springs,38.723,-123.01,CA,66.1,381000
Soulajule Dam,38.153,-122.782,CA,98.8,10700
Nicasio,38.075,-122.757,CA,100.1,22400
Kent,37.997,-122.702,CA,100,32900
Alpine Lake,37.94,-122.67,CA,99.9,8900
Lake Hennessey,38.482,-122.372,CA,100,31000
Briones Dam,37.9,-122.2,CA,80.2,67500
U San Leandro,37.778,-122.122,CA,93.4,38000
Chabot,37.73,-122.122,CA,102.6,10300
Del Valle,37.614,-121.745,CA,51.1,77100
San Antonio Reservoir,37.573,-121.848,CA,94.9,50500
Calaveras,37.492,-121.818,CA,34.4,100000
Lexington Reservoir,37.202,-121.988,CA,89,21400
Leroy Anderson,37.165,-121.632,CA,81.7,89100
Coyote Res Sta Clara,37.118,-121.549,CA,98.6,23700
Lower Crystal Springs Reservoir,37.53,-122.36,CA,95.9,57900
San Pablo,37.958,-122.333,CA,81.3,43200
San Andreas,37.578,-122.412,CA,100.9,19000
Lake San Antonio,35.798,-120.883,CA,355.1,50500
Whale Rock,35.45,-120.883,CA,77.7,39000
Santa Margarita Lake,35.333,-120.502,CA,100.4,23843
Nacimiento,35.758,-120.884,CA,94.7,350000
Lake Jennings,32.854,-116.892,CA,88.6,9800
Twitchell,34.983,-120.317,CA,0,225000
Cachuma Lake,34.583,-119.98,CA,51.2,190000
Gibraltar Dam,34.526,-119.686,CA,53.1,10000
Matilija Dam,34.486,-119.307,CA,57.1,1800
Casitas,34.373,-119.332,CA,43.9,254000
Pyramid,34.633,-118.75,CA,92.5,180000
Bouquet Canyon,34.54,-118.5,CA,73.4,36500
Castaic,34.5152,-118.6101,CA,92.3,325000
Lake Piru,34.461,-118.751,CA,36,83200
Cogswell Reservoir,34.245,-117.965,CA,74.8,9000
San Gabriel,34.207,-117.858,CA,82.7,44200
Lake Mathews,33.833,-117.46,CA,94.2,179300
Perris,33.858,-117.183,CA,44.5,131500
Lake Hemet,33.666,-116.705,CA,73.7,14000
Bear Valley Dam,34.242,-116.978,CA,56.1,74000
Santiago Creek Res,33.785,-117.723,CA,54.2,25000
Railroad Canyon,33.675,-117.272,CA,98.8,11600
Diamond Valley,33.67,-117.066,CA,83.9,800000
Vail Lake,33.496,-116.976,CA,25.9,51000
Sutherland Reservoir,33.118,-116.787,CA,43.7,29700
Lake Hodges,33.046,-117.128,CA,75.4,30300
Skinner,33.583,-117.122,CA,83.7,43800
Henshaw,33.24,-116.762,CA,31.5,50000
Cuyamaca Dam,32.99,-116.587,CA,38.7,11700
San Vicente,32.912,-116.924,CA,82.9,242000
Miramar,32.9,-117.1,CA,53.5,7200
El Capitan Dam,32.882,-116.808,CA,44.1,112800
Murray Res,32.782,-117.047,CA,80.3,4800
Morena Dam,32.683,-116.55,CA,9.4,50200
Barrett,32.678,-116.669,CA,32.5,37900
Loveland Reservoir,32.779,-116.792,CA,53,25400
Sweetwater Reservoir,32.692,-117.007,CA,58.1,27700
Lower Otay,32.609,-116.927,CA,93.4,49500
Shasta Dam,40.718,-122.42,CA,88.6,4552000
Keswick Reservoir,40.601,-122.443,CA,87,23800
Whiskeytown Dam,40.598,-122.537,CA,91.7,241100
Lake Mccloud,41.135,-122.074,CA,77.3,35300
Iron Canyon,41.045,-121.981,CA,33.4,24300
Lake Britton,41.022,-121.676,CA,112.6,34600
Black Butte,39.808,-122.329,CA,51,143700
Stony Gorge Reservoir,39.583,-122.533,CA,96.6,50400
East Park Reservoir,39.367,-122.517,CA,95.3,51000
Mountain Meadows,40.283,-121.017,CA,32,24800
Lake Almanor,40.218,-121.173,CA,80.3,1308000
Butt Valley,40.187,-121.186,CA,80.6,49800
Antelope Lake,40.18,-120.607,CA,106.8,22600
Bucks Lake Storage,39.897,-121.202,CA,99.4,103000
Lake Davis,39.883,-120.467,CA,105.1,83000
Frenchman Dam,39.883,-120.183,CA,103.5,55500
Little Grass Valley,39.724,-121.019,CA,76.3,93000
Sly Creek,39.584,-121.116,CA,72.1,65000
Oroville Dam,39.54,-121.493,CA,75.8,3537600
Thermalito  Total,39.458,-121.638,CA,70.4,81300
Bowman Lake,39.45,-120.652,CA,91.6,64000
Lake Spaulding S Yuba System,39.441,-120.658,CA,79.9,144600
French Lake,39.44,-120.544,CA,112.1,12500
New Bullards Bar,39.393,-121.14,CA,83,969600
Scotts Flat,39.274,-120.917,CA,98,49000
Englebright,39.239,-121.267,CA,102.6,70000
Rollins,39.135,-120.948,CA,100.9,66000
Bear River At Camp Far West Dam,39.05,-121.317,CA,91.2,104500
French Meadows,39.112,-120.468,CA,82.5,136400
Hell Hole,39.058,-120.407,CA,99.8,208400
Loon Lake,38.983,-120.323,CA,77.5,76500
Union Valley,38.864,-120.438,CA,997.6,23000
Ice House,38.824,-120.359,CA,91.1,37100
Slab Creek,38.7725,-120.6994,CA,80.7,16600
Caples Lake,38.707,-120.048,CA,59.1,21600
Folsom Lake,38.683,-121.183,CA,60.4,977000
Lake Natoma,38.65,-121.183,CA,81,9000
Indian Valley,39.083,-122.533,CA,87.2,300000
Clear Lk   Cache Creek,38.957,-122.642,CA,100.2,315000
Berryessa,38.513,-122.104,CA,97.6,1602000
Los Vaqueros Reservoir,37.838,-121.726,CA,90,160000
