reservoir,lat,lng,state
Agate,42.415,-122.772222,OR
Beulah,43.91202,-118.1539,OR
"Bully Creek",44.013216,-117.396017,OR
"Cold Springs",45.86083,-119.17242,OR
"Crane Prairie",43.780638,-121.800613,OR
"Crescent Lake",43.475556,-121.992222,OR
"Emigrant Lake",42.161389,-122.604167,OR
"Fish Lake",42.3775,-122.3475,OR
"Fourmile Lake",42.465833,-122.253889,OR
Haystack,44.49899,-121.15505,OR
"Howard Prairie Lake",42.216389,-122.376389,OR
Hyatt,42.186111,-122.453889,OR
McKay,45.605408,-118.798318,OR
Ochoco,44.299,-120.7242,OR
"Lake Owyhee",43.461389,-117.338333,OR
"Phillips Lake",44.6725,-117.9996,OR
Prineville,44.11,-120.785556,OR
"Henry Hagg Lake",45.47345,-123.20344,OR
"Thief Valley",45.01278,-117.78,OR
Unity,44.498889,-118.187222,OR
"Warm Springs Reservoir",43.585556,-118.208889,OR
"Clear Lake",45.176389,-121.694444,OR
Wickiup,43.690278,-121.698333,OR
"Wallowa Lake",45.308889,-117.210556,OR
"Wolf Creek",45.05,-118.02,OR
"Willow Creek",45.35,-119.54,OR
"Clear Lake",45.17,-121.69,OR
"Blue River",44.17,-122.33,OR
"Cottage Grove",43.72,-123.05,OR
Cougar,44.13,-122.24,OR
Detroit,44.72,-122.25,OR
Dorena,43.79,-122.95,OR
"Fall Creek",43.95,-122.76,OR
"Fern Ridge",44.12,-123.3,OR
Applegate,42.05,-123.12,OR
"Lost Creek Res",42.76,-122.67,OR
Cottonwood,42.24,-120.51,OR
