reservoir,lat,lng,state
Agate,42.415,-122.772222,OR
"American Falls",42.780833,-112.875556,ID
"Anderson Ranch",43.358333,-115.444444,ID
Arrowrock,43.595556,-115.922222,ID
"Agency Valley",43.91202,-118.1539,OR
"Banks Lake",47.62,-119.3075,WA
"Bully Creek",44.013216,-117.396017,OR
"Cold Springs",45.86083,-119.17242,OR
"Crane Prairie",43.780638,-121.800613,OR
"Crescent Lake",43.475556,-121.992222,OR
"Lake Cascade",44.524,-116.051,ID
Deadwood,44.294,-115.646,ID
"Emigrant Lake",42.161389,-122.604167,OR
"Black Canyon",43.93046,-116.43635,ID
"Fish Lake",42.3775,-122.3475,OR
"Fourmile Lake",42.465833,-122.253889,OR
"Grand Coulee/FDR Lake",47.955833,-118.981667,WA
"Grassy Lake",44.130978,-110.818825,WY
Haystack,44.49899,-121.15505,OR
"Howard Prairie Lake",42.216389,-122.376389,OR
Hyatt,42.186111,-122.453889,OR
"Island Park",44.418589, -111.396528,ID
"Jackson Lake",43.857647,-110.589594,WY
"Lake Lowell",43.56034,-116.6532,ID
"Lucky Peak Lake",43.525278,-116.043333,ID
"Mann Creek",44.39138,-116.89585,ID
McKay,45.605408,-118.798318,OR
Milner,42.524444,-114.009722,ID
"Lake Walcott",42.669444,-113.483611,ID
Ochoco,44.299,-120.7242,OR
"Lake Owyhee",43.461389,-117.338333,OR
Palisades,43.333056,-111.202778,ID
"Phillips Lake",44.6725,-117.9996,OR
Prineville,44.11,-120.785556,OR
"Reservoir A",46.371111,116.8575,ID
"Ririe Lake",43.58167,-111.74167,ID
"Henry Hagg Lake",45.47345,-123.20344,OR
"Soldiers Meadow",46.167222,-116.736667,ID
"Thief Valley",45.01278,-117.78,OR
Unity,44.498889,-118.187222,OR
"Warm Springs",43.585556,-118.208889,OR
"Clear Lake",45.176389,-121.694444,OR
Wickiup,43.690278,-121.698333,OR
Wildhorse,41.666757,-115.806942,NV
"Little Wood",43.425278,-114.027222,ID
