reservoir,lat,lng
"UPPER KLAMATH",42.25,-121.815
"GERBER",42.205,-121.13
"IRON GATE RESERVOIR",41.934,-122.436
"CLEAR LK - KLAMATH R",41.927,-121.075
"DWINNELL",41.541,-122.376
"TRINITY LAKE",40.801,-122.762
"LEWISTON",40.727,-122.793
"RUTH DAM",40.367,-123.433
"LAKE PILLSBURY",39.408,-122.958
"LAKE MENDOCINO",39.199,-123.182
"WARM SPRINGS (USACE)",38.723,-123.01
"SOULAJULE DAM",38.153,-122.782
"NICASIO",38.075,-122.757
"KENT",37.997,-122.702
"BON TEMPE",37.957,-122.61
"LAGUNITAS LAKE",37.947,-122.597
"ALPINE LAKE",37.94,-122.67
"LAKE HENNESSEY",38.482,-122.372
"BRIONES DAM",37.9,-122.2
"U SAN LEANDRO",37.778,-122.122
"CHABOT",37.73,-122.122
"DEL VALLE",37.614,-121.745
"SAN ANTONIO RESERVOIR",37.573,-121.848
"CALAVERAS",37.492,-121.818
"AUSTRIAN",37.132,-121.93
"LEXINGTON RESERVOIR",37.202,-121.988
"LEROY ANDERSON",37.165,-121.632
"COYOTE RES-STA CLARA",37.118,-121.549
"LOWER CRYSTAL SPRINGS RESERVOIR",37.53,-122.36
"SAN PABLO",37.958,-122.333
"LAFAYETTE",37.885,-122.138
"SAN ANDREAS",37.578,-122.412
"LAKE SAN ANTONIO",35.798,-120.883
"WHALE ROCK",35.45,-120.883
"SANTA MARGARITA LAKE",35.333,-120.502
"NACIMIENTO",35.758,-120.884
"LAKE JENNINGS",32.854,-116.892
"TWITCHELL",34.983,-120.317
"CACHUMA LAKE",34.583,-119.98
"GIBRALTAR DAM",34.526,-119.686
"MATILIJA DAM",34.486,-119.307
"CASITAS",34.373,-119.332
"PYRAMID",34.633,-118.75
"BOUQUET CANYON",34.54,-118.5
"CASTAIC",CAS,1535,34.5152,-118.6101
"LAKE PIRU",34.461,-118.751
"COGSWELL RESERVOIR",34.245,-117.965
"SAN GABRIEL",34.207,-117.858
"LAKE MATHEWS",33.833,-117.46
"PERRIS",33.858,-117.183
"LAKE HEMET",33.666,-116.705
"BEAR VALLEY DAM",34.242,-116.978
"SEVEN OAKS DAM",34.1178,-117.0978
"VILLA PARK",33.815,-117.832
"SANTIAGO CREEK RES (IRVINE LAKE)",33.785,-117.723
"RAILROAD CANYON",33.675,-117.272
"DIAMOND VALLEY33.67",-117.066
"VAIL LAKE",33.496,-116.976
"SUTHERLAND RESERVOIR",33.118,-116.787
"LAKE HODGES",33.046,-117.128
"SKINNER",33.583,-117.122
"HENSHAW2740",33.24,-116.762
"CUYAMACA DAM",32.99,-116.587
"SAN VICENTE",32.912,-116.924
"MIRAMAR",32.9,-117.1
"EL CAPITAN DAM",32.882,-116.808
"MURRAY RES",32.782,-117.047
"MORENA DAM",32.683,-116.55
"BARRETT",32.678,-116.669
"LOVELAND RESERVOIR",32.779,-116.792
"SWEETWATER RESERVOIR",32.692,-117.007
"LOWER OTAY",32.609,-116.927
"SHASTA DAM (USBR)",40.718,-122.42
"KESWICK RESERVOIR",40.601,-122.443
"WHISKEYTOWN DAM (USBR)",40.598,-122.537
"LAKE MCCLOUD",41.135,-122.074
"IRON CANYON",41.045,-121.981
"LAKE BRITTON",41.022,-121.676
"PIT R PH #7",40.843,-122.015
"PIT R PH #6",40.842,-122.001
"BLACK BUTTE",39.808,-122.329
"STONY GORGE RESERVOIR",39.583,-122.533
"EAST PARK RESERVOIR",39.367,-122.517
"MOUNTAIN MEADOWS",40.283,-121.017
"LAKE ALMANOR",40.218,-121.173
"BUTT VALLEY",40.187,-121.186
"ANTELOPE LAKE40.18",-120.607
"BUCKS LAKE STORAGE",39.897,-121.202
"LAKE DAVIS (DWR)",39.883,-120.467
"FRENCHMAN DAM",39.883,-120.183
"LITTLE GRASS VALLEY",39.724,-121.019
"SLY CREEK",39.584,-121.116
"OROVILLE DAM",39.54,-121.493
"THERMALITO DIVERS POOL",39.528,-121.543
"THERMALITO FOREBAY",39.519,-121.629
"THERMALITO TOTAL",39.458,-121.638
"THERMALITO AFTERBAY",39.45,-121.633
"JACKSON MEADOWS (NEVADA CO WD)",39.509,-120.552
"BOWMAN LAKE",39.45,-120.652
"LAKE SPAULDING S YUBA SYSTEM",39.441,-120.658
"FRENCH LAKE",39.44,-120.544
"NEW BULLARDS BAR",39.393,-121.14
"SPAULDING LAKE",39.329,-120.641
"SCOTTS FLAT",39.274,-120.917
"ENGLEBRIGHT (USACE)",39.239,-121.267
"ROLLINS",39.135,-120.948
"BEAR RIVER AT CAMP FAR WEST DAM",39.05,-121.317
"COMBIE LAKE",39.017,-121.05
"LAKE VALLEY RESERVOIR39.3",-120.583
"FRENCH MEADOWS",39.112,-120.468
"HELL HOLE (PCWA)",39.058,-120.407
"LOON LAKE (SMUD)",38.983,-120.323
"STUMPY MEADOWS RESERVOIR(MARK EDSON DAM)",38.903,-120.603
"UNION VALLEY",38.864,-120.438
"ICE HOUSE (SMUD)",38.824,-120.359
"SLAB CREEK",38.7725,-120.6994
"CAPLES LAKE (PG&E)",38.707,-120.048
"FOLSOM LAKE",38.683,-121.183
"SILVER LAKE RESERVOIR",38.669,-120.121
"LAKE NATOMA (NIMBUS DAM)",38.65,-121.183
"INDIAN VALLEY",39.083,-122.533
"CLEAR LK - CACHE CREEK",38.957,-122.642
"BERRYESSA",38.513,-122.104
"LAKE SOLANO",38.5,-122
"BETHANY FOREBAY",37.785,-121.617
"LOS VAQUEROS RESERVOIR",37.838,-121.726
"JENKINSON LAKE",38.713,-120.56
"LOWER BEAR",38.538,-120.257
"SALT SPRINGS",38.497,-120.216
"PARDEE",38.25,-120.85
"CAMANCHE RESERVOIR",38.225,-121.021
"NEW HOGAN LAKE",38.152,-120.812
"SPICER MEADOWS",38.393,-119.998
"DONNELLS",38.329,-119.96
"RELIEF",38.267,-119.733
"BEARDSLEY LAKE",38.203,-120.075
"STRAWBERRY",38.2,-119.983
"LYONS RESERVOIR",38.094,-120.166
"NEW MELONES RESERVOIR",37.9481,-120.525
"TULLOCH",37.875,-120.603
"CHERRY LAKE",37.976,-119.913
"LAKE ELEANOR",37.974,-119.88
"HETCH HETCHY",37.95,-119.783
"DON PEDRO RESERVOIR",37.702,-120.421
"MODESTO RESERVOIR",37.657,-120.675
"TURLOCK LAKE",244,37.6,-120.583
"LAKE MCCLURE",37.584,-120.267
"LAKE MC SWAIN",37.52,-120.309
"BUCHANAN DAM",37.213,-119.97
"HIDDEN DAM (HENSLEY)37.2",-119.917
"THOMAS A EDISON",37.37,-118.987
"MAMMOTH POOL",37.329,-119.328
"CRANE VALLEY",37.283,-119.517
"FLORENCE LAKE (SCE)",37.267,-118.967
"HUNTINGTON LAKE (USBR)",37.228,-119.221
"SHAVER LAKE",37.145,-119.302
"REDINGER LAKE",37.145,-119.449
"KERCKHOFF DAM",37.128,-119.524
"FRIANT DAM (MILLERTON)",37.001,-119.705
"SAN LUIS RESERVOIR",37.033,-121.133
"ONEILL FOREBAY",37.067,-121.067
"SAN LUIS RESERVOIR",37.001,-121.002
"LOS BANOS",120,37.05,-120.867
"COURTRIGHT (PG&E)",37.072,-118.967
"WISHON",37.005,-118.969
