reservoir,lat,lng,capacity
Pathfinder,42.4525,-106.894167,1070000
Seminoe,42.138333,-106.883056,1017276
Boysen,43.377222,-108.175556,892226
"Jackson Lake",43.838889,-110.653056,847000
Glendo,42.511111,-104.956944,763039
"Buffalo Bill",44.493056,-109.2025,646565
Keyhole,44.375556,-104.784444,334200
Alcova,42.537222,-106.735556,184405
"Bull Lake",43.205,-109.06,152459
"Wheatland Reservoir Number 2",41.881944,-105.585556,98930
"New Fork Lake",43.090556,-109.958333W,45900
Guernsey,42.319167,-104.798611,45612
